Material compositions,main_element,Trg,Density_composition_average,IsBoron_composition_average,IsDBlock_composition_average,IsTransitionMetal_composition_average,NdValence_composition_average,NValance_composition_average,HeatVaporization_max_value,BoilingT_difference,HeatVaporization_difference,MeltingT_difference,NdValence_difference,NsUnfilled_difference,valence_difference,Site1_Density,Site1_HeatCapacityMass,Site1_HeatFusion,Site1_IsDBlock,Site1_IsTransitionMetal,Site1_NdValence,Site1_SpecificHeatCapacity
Ag10Cu35Zr55,Zr,0.534,0.579069323,-0.585599963,1.029882069,1.029882069,0.589535856,0.217570998,0.56391502,0.544521314,0.505747776,-0.23559993,0.473851506,0.85784908,0.264503316,1.091651325,-0.887076926,-0.454471416,0.718013956,0.718013956,1.317680438,-0.884993683
Ag10Cu50Zr40,Cu,0.608,0.748401453,-0.585599963,1.029882069,1.029882069,1.176250154,0.653968875,0.56391502,0.544521314,0.505747776,-0.23559993,0.473851506,0.85784908,0.264503316,1.091651325,-0.887076926,-0.454471416,0.718013956,0.718013956,1.317680438,-0.884993683
Ag10Cu55Zr35,Cu,0.609,0.804845496,-0.585599963,1.029882069,1.029882069,1.371821586,0.799434834,0.56391502,0.544521314,0.505747776,-0.23559993,0.473851506,0.85784908,0.264503316,1.091651325,-0.887076926,-0.454471416,0.718013956,0.718013956,1.317680438,-0.884993683
Ag20Cu40Zr40,Cu,0.577,0.821973182,-0.585599963,1.029882069,1.029882069,1.176250154,0.653968875,0.56391502,0.544521314,0.505747776,-0.23559993,0.473851506,0.85784908,0.264503316,1.091651325,-0.887076926,-0.454471416,0.718013956,0.718013956,1.317680438,-0.884993683
Ag35Ca65,Ca,0.515,-0.860991846,-0.585599963,-0.9989612,-0.9989612,-0.437214166,-0.613663053,-1.684369924,-1.368929027,-1.228444564,-1.429883953,1.005911258,0.85784908,-1.745034863,1.091651325,-0.887076926,-0.454471416,0.718013956,0.718013956,1.317680438,-0.884993683
Al13.3Co26.7Zr60,Zr,0.573,0.058889078,0.464229426,0.614749523,0.614749523,-0.647942385,-0.592050968,0.56391502,0.109147336,0.220140354,0.23007105,-0.324238123,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.392730589,-1.10635433,1.575043526
Al15.4Co26Zr58.6,Zr,0.565,0.013549211,0.629991961,0.549202279,0.549202279,-0.685589886,-0.615325521,0.56391502,0.109147336,0.220140354,0.23007105,-0.324238123,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.392730589,-1.10635433,1.575043526
Al15Ca70Mg15,Ca,0.545,-2.233221755,0.598418145,-2.091415267,-2.091415267,-2.148464202,-1.860514129,-1.418640068,-0.453058277,-0.750370303,-1.318556057,-1.654387503,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.392730589,-1.10635433,1.575043526
Al16.9Co25.6Zr57.5,Zr,0.572,-0.0177169,0.748393772,0.502382819,0.502382819,-0.710036315,-0.629872117,0.56391502,0.109147336,0.220140354,0.23007105,-0.324238123,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.392730589,-1.10635433,1.575043526
Al18Sr82,Sr,0.527,-1.815268726,0.835221766,-2.091415267,-2.091415267,-2.148464202,-1.848045619,-1.418640068,-0.809162484,-0.816493007,-1.435135997,-1.654387503,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.392730589,-1.10635433,1.575043526
Al19.4Co24.8Zr55.8,Zr,0.577,-0.071319762,0.945730123,0.424350386,0.424350386,-0.754039887,-0.656887224,0.56391502,0.109147336,0.220140354,0.23007105,-0.324238123,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.392730589,-1.10635433,1.575043526
Al20Ca65Mg15,Ca,0.597,-2.206276695,0.993090847,-2.091415267,-2.091415267,-2.148464202,-1.839733278,-1.418640068,-0.453058277,-0.750370303,-1.318556057,-1.654387503,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.392730589,-1.10635433,1.575043526
Al21.2Co21.2Zr57.6,Zr,0.575,-0.143767766,1.087812296,0.368167033,0.368167033,-0.859648461,-0.739179395,0.56391502,0.109147336,0.220140354,0.23007105,-0.324238123,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.392730589,-1.10635433,1.575043526
Al22.3Co22.3Zr55.4,Zr,0.578,-0.151097759,1.17464029,0.333832763,0.333832763,-0.843513817,-0.720892245,0.56391502,0.109147336,0.220140354,0.23007105,-0.324238123,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.392730589,-1.10635433,1.575043526
Al22Co24Zr54,Zr,0.584,-0.126708497,1.150959928,0.343196655,0.343196655,-0.799021317,-0.684317947,0.56391502,0.109147336,0.220140354,0.23007105,-0.324238123,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.392730589,-1.10635433,1.575043526
Al23.5Co23.5Zr53,Zr,0.593,-0.159094116,1.269361739,0.296377195,0.296377195,-0.825912389,-0.700942628,0.56391502,0.109147336,0.220140354,0.23007105,-0.324238123,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.392730589,-1.10635433,1.575043526
Al30Ca60Mg10,Ca,0.582,-2.156791506,1.782436252,-2.091415267,-2.091415267,-2.148464202,-1.798171576,-1.418640068,-0.453058277,-0.750370303,-1.318556057,-1.654387503,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.392730589,-1.10635433,1.575043526
Al30Sr70,Sr,0.556,-1.811332404,1.782436252,-2.091415267,-2.091415267,-2.148464202,-1.798171576,-1.418640068,-0.809162484,-0.816493007,-1.435135997,-1.654387503,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.392730589,-1.10635433,1.575043526
Al32Ca58Mg10,Ca,0.588,-2.146013482,1.940305333,-2.091415267,-2.091415267,-2.148464202,-1.789859235,-1.418640068,-0.453058277,-0.750370303,-1.318556057,-1.654387503,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.392730589,-1.10635433,1.575043526
Al35Ca65,Ca,0.688,-2.138656309,2.177108955,-2.091415267,-2.091415267,-2.148464202,-1.777390724,-1.418640068,-0.933555049,-0.942837142,-1.334729264,-1.654387503,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.392730589,-1.10635433,1.575043526
Al35La50Ni15,La,0.548,-0.544586548,2.177108955,-1.623220667,-1.623220667,-1.317285613,-1.070841781,-0.69911215,-1.043313195,-1.137365872,-0.387816537,0.20782163,-1.16570621,-1.745034863,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.392730589,-1.10635433,1.575043526
Al35Sr65,Sr,0.493,-1.80969227,2.177108955,-2.091415267,-2.091415267,-2.148464202,-1.777390724,-1.418640068,-0.809162484,-0.816493007,-1.435135997,-1.654387503,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.392730589,-1.10635433,1.575043526
Al40La45Ni15,La,0.492,-0.625328007,2.571781658,-1.623220667,-1.623220667,-1.341732042,-1.070841781,-0.69911215,-1.043313195,-1.137365872,-0.387816537,0.20782163,-1.16570621,-1.745034863,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.392730589,-1.10635433,1.575043526
