Material Composition,A site #1,A site #2,A site #3,B site #1,B site #2,B site #3,X site,Number of elements,energy_above_hull (meV/atom),formation_energy (eV/atom),num_of_atoms_host_Asite0,host_Asite0_Heat of Vaporization,host_Bsite0_at. wt.,host_Bsite0_Ionization Energy (kJ/mol),shannon_radii_AB_avg,Density_AB_avg,BCCefflatcnt_AB_avg,BCCvolume_padiff_AB_avg,GSenergy_pa_AB_avg,ICSDVolume_AB_avg,covalent radius_AB_avg,Ionization Energy (kJ/mol)_AB_avg,Electron Affinity (kJ/mol)_AB_avg,Atomic Volume (cm³/mol)_AB_avg,MendeleevNumber_AB_avg,First Ionization Potential (V)_AB_avg,thermal conductivity_AB_avg,at. wt._AB_diff,specific heat capacity_AB_diff,electrical conductivity_AB_diff,BCCefflatcnt_AB_ratio,Ionization Energy (kJ/mol)_AB_ratio,Heat of Vaporization_AB_ratio,Asite_BCCvolume_pa_weighted_avg,Asite_BCCvolume_padiff_weighted_avg,Asite_At. Radius   (angstroms)_weighted_avg,Asite_n_ws^third_weighted_avg,Bsite_ BP (K)_weighted_avg,Bsite_At. Radius   (angstroms)_weighted_avg,Bsite_Second Ionization Potential  (V)_weighted_avg,Bsite_electrical conductivity_weighted_avg,Asite_Ionic Radius (angstroms)_max,Asite_BCCenergy_pa_max,Asite_Atomic Radius (Å)_max,Asite_At. Radius   (angstroms)_max,Asite_Atomic Volume (cm³/mol)_max,Bsite_ BP (K)_max,Bsite_At. Radius   (angstroms)_max,Bsite_First Ionization Potential (V)_max,Bsite_Third Ionization Potential  (V)_max,Asite_shannon_radii_min,Asite_BCCenergy_pa_min,Asite_BCCenergydiff_min,Asite_GSmagmom_min,Asite_At. Radius   (angstroms)_min,Bsite_MendeleevNumber_min,Bsite_n_ws^third_min,Asite_shannon_radii_range,Asite_BCCefflatcnt_range,Asite_IsBoron_weighted_avg,Asite_IsHalogen_weighted_avg,Asite_IsPnictide_weighted_avg,Asite_IsRareEarth_weighted_avg,Asite_NfUnfilled_weighted_avg,Asite_NfValence_weighted_avg,Bsite_At. #_weighted_avg,Bsite_Period_weighted_avg,Bsite_IsMetal_weighted_avg,Bsite_NdUnfilled_weighted_avg,Bsite_NpUnfilled_weighted_avg,host_Asite0_IsBCC,host_Asite0_IsCubic,host_Asite0_IsAlkali,host_Asite0_OrbitalD,host_Asite0_NsValence,host_Bsite0_At. #,host_Bsite0_IsHexagonal,host_Bsite0_IsNoblegas,Asite_IsAlkali_max,Bsite_IsMetal_max
Ba1Sr7V8O24,Ba,Sr,,V,,,O,4,29.74770732,-2.113334555,7,136.9,50.9415,650,1.020625,4.390625,7.730568141,-0.5775,-5.326081436,35.325,1.569375,596.8375,-51.75,21.58625,27.0625,6.1873125,18.044375,21.446125,-0.1005,0.3625,1.608809187,0.836423077,0.307393105,54.245,-1.155,2.48875,0.83625,3650,1.92,14.65,4,1.42,-1.67793991,2.22,2.76,39.24,3650,1.92,6.74,29.31,1.44,-1.92352226,0,0,2.45,46,1.64,0.17,0.597912362,0,0,0,0,0,0,23,4,1,7,0,0,0,0,0,2,23,0,0,1,1
Ba2Bi2Pr4Co8O24,Ba,Bi,Pr,Co,,,O,5,106.702335,-1.311862585,4,332.63,58.9332,758,0.9125,7.81,7.06658414,-0.22875,-5.470804145,26.4375,1.4225,660.525,54.75,16.1175,45.125,6.857625,56.40875,49.049125,-0.1215,-8.1125,1.566252406,0.742810026,0.659295473,41.32,-0.6525,2.4325,1.0925,3143,1.67,17.06,17.9,1.42,-1.92352226,2.22,2.76,39.24,3143,1.67,7.86,33.5,1.17,-4.64853984,0,0,1.63,58,1.75,0.44,2.235900917,0,0,0.25,0.5,5.5,5,27,4,1,3,0,0,0,0,0,2,27,1,0,1,1
Ba2Ca6Fe8O24,Ba,Ca,,Fe,,,O,4,171.6080933,-1.435607274,6,154.67,55.847,759.3,1.02075,4.967,7.17978616,-0.35625,-5.113806049,30.2375,1.485,663.6875,-53,18.1675,31.25,6.878875,117.4,4.272,0.043625,6.4875,1.583657474,0.748156196,0.432195994,43.5125,-0.7125,2.3625,0.885,3023,1.72,16.18,11.2,1.42,-1.92352226,2.22,2.76,39.24,3023,1.72,7.87,30.651,1.34,-1.92725921,0,0,2.23,55,1.77,0.27,1.674764081,0,0,0,0,0,0,26,4,1,4,0,0,0,0,0,2,26,0,0,1,1
Ba2Cd2Pr4Ni8O24,Ba,Cd,Pr,Ni,,,O,5,284.8981896,-0.868639335,4,332.63,58.6934,736.7,0.905,7.6725,6.929112707,0.078125,-4.308581836,24.5625,1.41125,670.425,61.5,15.0375,44.625,6.958125,62.875,37.097725,-0.11925,-4.7375,1.525229494,0.820076015,0.599556291,38.755,0.14625,2.4525,1.1125,3005,1.62,18.168,14.6,1.42,-0.74033904,2.22,2.76,39.24,3005,1.62,7.635,35.17,1.2,-4.64853984,0,0,1.71,61,1.75,0.41,3.25802931,0,0,0,0.5,5.5,1.5,28,4,1,2,0,0,0,0,0,2,28,0,0,1,1
Ba2Dy6Fe8O24,Ba,Dy,,Fe,,,O,4,270.0079129,-1.746806189,6,230,55.847,759.3,0.924375,7.592,7.011254716,-0.01125,-6.108765383,25.55,1.42875,657.0125,24.25,15.58,40.25,6.814,46.4125,50.18025,-0.134125,-4.8375,1.523011166,0.730574213,0.593848355,39.305,-0.0225,2.5575,1.1175,3023,1.72,16.18,11.2,1.42,-1.92352226,2.22,2.76,39.24,3023,1.72,7.87,30.651,1.083,-4.45538074,0,0,2.49,55,1.77,0.527,2.124181263,0,0,0,0.75,3,7.5,26,4,1,4,0,0,0,0,0,2,26,0,0,1,1
Ba2Gd6Fe8O24,Ba,Gd,,Fe,,,O,4,70.97342159,-1.903261754,6,311.71,55.847,759.3,0.933375,7.34825,7.055707903,0.2175,-6.128590454,26.0375,1.43625,664.5125,24.25,15.9175,38.75,6.89275,46.375,48.2115,-0.1105,-4.95,1.539007716,0.750329251,0.769191702,40.37,0.435,2.595,1.11,3023,1.72,16.18,11.2,1.42,-1.92352226,2.22,2.76,39.24,3023,1.72,7.87,30.651,1.107,-4.51068704,0,0,2.54,55,1.77,0.503,2.005639433,0,0,0,0.75,5.25,5.25,26,4,1,4,0,0,0,0,0,2,26,0,0,1,1
Ba2Ho6Fe8O24,Ba,Ho,,Fe,,,O,4,291.384616,-1.730646902,6,251.04,55.847,759.3,0.93825,7.68575,7.014745884,0.22,-6.099713791,25.3625,1.425,660.3875,24.25,15.4675,41,6.84325,48.475,51.0916125,-0.137125,-4.8375,1.524267468,0.73946398,0.638998569,39.3875,0.44,2.5425,1.1175,3023,1.72,16.18,11.2,1.42,-1.92352226,2.22,2.76,39.24,3023,1.72,7.87,30.651,1.12,-4.4347242,0,0,2.47,55,1.77,0.49,2.114871484,0,0,0,0.75,2.25,8.25,26,4,1,4,0,0,0,0,0,2,26,0,0,1,1
Ba2La6Co8O24,Ba,La,,Co,,,O,4,59.63498938,-1.663537668,6,399.57,58.9332,758,0.97625,7.205,7.172912706,0.3121875,-5.628464674,27.425,1.29625,643.65,47.25,16.02875,35,6.674,57.3625,39.7892125,-0.11375,-7.8875,1.604865962,0.69828496,0.896671578,44,0.429375,2.745,1.0875,3143,1.67,17.06,17.9,1.42,-1.92352226,2.22,2.76,39.24,3143,1.67,7.86,33.5,1.36,-4.79586452,0,0,2.74,58,1.75,0.25,1.625721722,0,0,0,0.75,0,0,27,4,1,3,0,0,0,0,1,2,27,1,0,1,1
Ba2La6Cr8O24,Ba,La,,Cr,,,O,4,16.66840972,-2.244336479,6,399.57,51.996,652.8,0.98625,6.35,7.235654015,0.2046875,-6.841128372,27.875,1.30625,591.05,44.25,16.29375,30.5,6.127,54.2125,43.2578125,-0.12775,-2.8875,1.569114158,0.810814951,0.985942563,44,0.429375,2.745,1.0875,2945,1.85,16.5,7.9,1.42,-1.92352226,2.22,2.76,39.24,2945,1.85,6.766,30.96,1.36,-4.79586452,0,0,2.74,49,1.73,0.25,1.625721722,0,0,0,0.75,0,0,24,4,1,5,0,0,0,0,1,2,24,0,0,1,1
Ba2La6Fe8O24,Ba,La,,Fe,,,O,4,0,-2.003512701,6,399.57,55.847,759.3,1.02825,6.692,7.198177044,0.2146875,-6.231012282,27.725,1.30125,644.3,24.25,16.22875,33.5,6.679,47.4625,41.3323125,-0.12775,-4.5375,1.590275463,0.697089424,0.957732475,44,0.429375,2.745,1.0875,3023,1.72,16.18,11.2,1.42,-1.92352226,2.22,2.76,39.24,3023,1.72,7.87,30.651,1.36,-4.79586452,0,0,2.74,55,1.77,0.25,1.625721722,0,0,0,0.75,0,0,26,4,1,4,0,0,0,0,1,2,26,0,0,1,1
